"term","c","cDis"
"discovering",596,596
"fa",596,596
"flick",596,596
"grams",596,596
"identical",596,596
"mayor's",596,596
"nasa",596,596
"proving",596,596
"semifinals",596,596
"tsunami",596,596
"verbal",596,596
"ambulance",595,595
"buys",595,595
"citizenship",595,595
"extending",595,595
"gown",595,595
"liability",595,595
"natalie",595,595
"scholarships",595,595
"sentencing",595,595
"slavery",595,595
"solved",595,595
"sustainability",595,595
"treasurer",595,595
"altered",594,594
"bynum",594,594
"cleaner",594,594
"etsy",594,594
"moses",594,594
"pools",594,594
"taliban",594,594
"detention",593,593
"federation",593,593
"fighters",593,593
"kudos",593,593
"translate",593,593
"transmission",593,593
"bergen",592,592
"crude",592,592
"guessed",592,592
"ingredient",592,592
"prayed",592,592
"shave",592,592
"tad",592,592
"concentration",591,591
"continually",591,591
"earliest",591,591
"fines",591,591
"madonna",591,591
"moist",591,591
"motors",591,591
"na",591,591
"observe",591,591
"rebel",591,591
"retiring",591,591
"rum",591,591
"secured",591,591
"corrupt",590,590
"disabilities",590,590
"float",590,590
"gal",590,590
"irrelevant",590,590
"licenses",590,590
"outcomes",590,590
"party's",590,590
"resolutions",590,590
"settling",590,590
"socialist",590,590
"swinging",590,590
"texted",590,590
"veggie",590,590
"enthusiastic",589,589
"lynch",589,589
"physicians",589,589
"sensation",589,589
"sparkling",589,589
"unified",589,589
"doctor's",588,588
"dodge",588,588
"fringe",588,588
"identification",588,588
"offenders",588,588
"salute",588,588
"sciences",588,588
"zealand",588,588
"agricultural",587,587
"bb",587,587
"booty",587,587
"carson",587,587
"embassy",587,587
"goose",587,587
"grounded",587,587
"medina",587,587
"pinot",587,587
"savvy",587,587
"slick",587,587
"arch",586,586
"carrie",586,586
"customs",586,586
"epa",586,586
"gravy",586,586
"idiots",586,586
"innocence",586,586
"liberals",586,586
"mayweather",586,586
"montgomery",586,586
"pity",586,586
"rounded",586,586
"targeting",586,586
"colin",585,585
"cows",585,585
"drawings",585,585
"elder",585,585
"highland",585,585
"sober",585,585
"void",585,585
"borrowing",584,584
"breakdown",584,584
"danced",584,584
"finely",584,584
"insists",584,584
"marching",584,584
"permitted",584,584
"ranger",584,584
"texans",584,584
"umbrella",584,584
"blended",583,583
"borrowed",583,583
"cia",583,583
"greeted",583,583
"premise",583,583
"priceless",583,583
"sage",583,583
"sunrise",583,583
"clicking",582,582
"considers",582,582
"demonstration",582,582
"entity",582,582
"liz",582,582
"mug",582,582
"prof",582,582
"cardboard",581,581
"cds",581,581
"cohen",581,581
"danielle",581,581
"dinners",581,581
"highlighted",581,581
"holders",581,581
"kindly",581,581
"naming",581,581
"notified",581,581
"peterson",581,581
"testify",581,581
"warnings",581,581
"berries",580,580
"instances",580,580
"jacobs",580,580
"janet",580,580
"literacy",580,580
"mentality",580,580
"oddly",580,580
"puerto",580,580
"refusing",580,580
"shield",580,580
"tightly",580,580
"bernard",579,579
"composed",579,579
"goalie",579,579
"influences",579,579
"king's",579,579
"lance",579,579
"profitable",579,579
"prosperity",579,579
"stove",579,579
"superstar",579,579
"sympathy",579,579
"fulfill",578,578
"grabbing",578,578
"hunters",578,578
"lax",578,578
"negotiating",578,578
"parenthood",578,578
"preseason",578,578
"terrified",578,578
"toasted",578,578
"trace",578,578
"whisper",578,578
"congressman",577,577
"cricket",577,577
"furious",577,577
"haunted",577,577
"joyce",577,577
"lamp",577,577
"optimism",577,577
"unprecedented",577,577
"2nite",576,576
"advise",576,576
"baskets",576,576
"boarding",576,576
"crashing",576,576
"ethical",576,576
"kissed",576,576
"stevens",576,576
"supermarket",576,576
"corrections",575,575
"diners",575,575
"gin",575,575
"haul",575,575
"mails",575,575
"merchandise",575,575
"nixon",575,575
"partisan",575,575
"pensions",575,575
"pies",575,575
"rebuild",575,575
"rochester",575,575
"sunlight",575,575
"achieving",574,574
"assisted",574,574
"churchill",574,574
"diapers",574,574
"expectation",574,574
"paragraph",574,574
"servers",574,574
"teddy",574,574
"24th",573,573
"adele",573,573
"auditorium",573,573
"destroying",573,573
"ditto",573,573
"irving",573,573
"accomplishment",572,572
"debates",572,572
"edison",572,572
"gerald",572,572
"inability",572,572
"kissing",572,572
"lovin",572,572
"measuring",572,572
"photographers",572,572
"vessel",572,572
"appetizers",571,571
"bloomberg",571,571
"entertain",571,571
"henderson",571,571
"lung",571,571
"messing",571,571
"operators",571,571
"pigs",571,571
"revised",571,571
"sally",571,571
"smack",571,571
"sparked",571,571
"that'll",571,571
"turf",571,571
"brewed",570,570
"civilian",570,570
"containers",570,570
"mary's",570,570
"owl",570,570
"remix",570,570
"suited",570,570
"whatsoever",570,570
"baldwin",569,569
"cavaliers",569,569
"directing",569,569
"gomez",569,569
"hump",569,569
"jared",569,569
"presumably",569,569
"risky",569,569
"saudi",569,569
"separately",569,569
"tl",569,569
"tues",569,569
"bronze",568,568
"eco",568,568
"entrepreneur",568,568
"hints",568,568
"matchup",568,568
"modified",568,568
"necessity",568,568
"surgeon",568,568
"swallow",568,568
"whew",568,568
"barrels",567,567
"brown's",567,567
"emissions",567,567
"envelope",567,567
"founders",567,567
"frog",567,567
"hbo",567,567
"moreover",567,567
"posed",567,567
"quirky",567,567
"sony",567,567
"tier",567,567
"titans",567,567
"worthwhile",567,567
"dads",566,566
"declining",566,566
"kelley",566,566
"reps",566,566
"rider",566,566
"smallest",566,566
"spike",566,566
"thrill",566,566
"26th",565,565
"absurd",565,565
"avocado",565,565
"cheesy",565,565
"espresso",565,565
"fragile",565,565
"functional",565,565
"implemented",565,565
"investigated",565,565
"lager",565,565
"marketplace",565,565
"myers",565,565
"perkins",565,565
"ramp",565,565
"routinely",565,565
"balloon",564,564
"contents",564,564
"folder",564,564
"league's",564,564
"medications",564,564
"suns",564,564
"apple's",563,563
"cyber",563,563
"loudly",563,563
"majors",563,563
"sung",563,563
"wildcats",563,563
"bit.ly",562,562
"courthouse",562,562
"disclose",562,562
"earl",562,562
"gf",562,562
"jacksonville",562,562
"lend",562,562
"neighboring",562,562
"pains",562,562
"renewal",562,562
"sanctions",562,562
"credibility",561,561
"esp",561,561
"galleries",561,561
"memoir",561,561
"notices",561,561
"playlist",561,561
"rented",561,561
"ruby",561,561
"widow",561,561
"willie",561,561
"attitudes",560,560
"austerity",560,560
"cheddar",560,560
"colonial",560,560
"di",560,560
"fellowship",560,560
"thursdays",560,560
"varied",560,560
"viable",560,560
"availability",559,559
"bitterness",559,559
"cattle",559,559
"coin",559,559
"examined",559,559
"guides",559,559
"justified",559,559
"lifelong",559,559
"pointless",559,559
"renewable",559,559
"renovation",559,559
"robust",559,559
"sandra",559,559
"amusing",558,558
"bartender",558,558
"bruh",558,558
"integrated",558,558
"lenders",558,558
"limiting",558,558
"mcdonalds",558,558
"oprah",558,558
"outline",558,558
"pointers",558,558
"reflecting",558,558
"rejection",558,558
"sci",558,558
"steals",558,558
"stitches",558,558
"tray",558,558
"bubbles",557,557
"bummed",557,557
"clown",557,557
"corey",557,557
"hacking",557,557
"mailed",557,557
"prevented",557,557
"quarterbacks",557,557
"realization",557,557
"superb",557,557
"unsure",557,557
"watchin",557,557
"airports",556,556
"badass",556,556
"binding",556,556
"carnival",556,556
"output",556,556
"stylish",556,556
"tendency",556,556
"transaction",556,556
"celebrations",555,555
"suv",555,555
"trilogy",555,555
"ballpark",554,554
"begging",554,554
"confirmation",554,554
"earrings",554,554
"fabrics",554,554
"festivals",554,554
"neglected",554,554
"scholar",554,554
"setup",554,554
"staples",554,554
"strengths",554,554
"trademark",554,554
"wool",554,554
"affecting",553,553
"favored",553,553
"finna",553,553
"intensive",553,553
"invites",553,553
"nearest",553,553
"prediction",553,553
"shouted",553,553
"speeches",553,553
"tablets",553,553
"theories",553,553
"transparent",553,553
"birthdays",552,552
"dana",552,552
"dances",552,552
"divorced",552,552
"dug",552,552
"glove",552,552
"abandon",551,551
"applicants",551,551
"exhibits",551,551
"festivities",551,551
"ironically",551,551
"predictable",551,551
"sleeve",551,551
"starving",551,551
"sweetheart",551,551
"webinar",551,551
"22nd",550,550
"arguably",550,550
"interviewing",550,550
"legends",550,550
"owed",550,550
"submissions",550,550
"summers",550,550
"weddings",550,550
"armstrong",549,549
"boehner",549,549
"diaper",549,549
"households",549,549
"newton",549,549
"permanently",549,549
"postal",549,549
"preference",549,549
"reasonably",549,549
"rib",549,549
"ripe",549,549
"sacks",549,549
"tsa",549,549
"boiling",548,548
"celery",548,548
"heavenly",548,548
"husbands",548,548
"intact",548,548
"males",548,548
"mindset",548,548
"pins",548,548
"sesame",548,548
"stat",548,548
"tina",548,548
"euclid",547,547
"fusion",547,547
"groceries",547,547
"inspector",547,547
"margarita",547,547
"notch",547,547
"personalities",547,547
"recommends",547,547
"stripped",547,547
"tense",547,547
"adjacent",546,546
"animation",546,546
"assure",546,546
"catalog",546,546
"export",546,546
"genetic",546,546
"gentlemen",546,546
"holocaust",546,546
"invention",546,546
"ladder",546,546
"mashed",546,546
"mold",546,546
"pier",546,546
"scarf",546,546
"spoiled",546,546
"vivid",546,546
"dimension",545,545
"folded",545,545
"marilyn",545,545
"mke",545,545
"pots",545,545
"rosemary",545,545
"screamed",545,545
"tbsp",545,545
"wife's",545,545
"27th",544,544
"alcoholic",544,544
"clemens",544,544
"damned",544,544
"diana",544,544
"disciples",544,544
"dunno",544,544
"fueled",544,544
"handing",544,544
"howell",544,544
"resignation",544,544
"shredded",544,544
"skate",544,544
"28th",543,543
"accomplishments",543,543
"apparel",543,543
"assess",543,543
"aviation",543,543
"brook",543,543
"chunk",543,543
"exploded",543,543
"fictional",543,543
"fills",543,543
"foolish",543,543
"loaf",543,543
"madrid",543,543
"manuscript",543,543
"programme",543,543
"seller",543,543
"underlying",543,543
"additionally",542,542
"behave",542,542
"biblical",542,542
"caroline",542,542
"leak",542,542
"motto",542,542
"pharmacy",542,542
"reynolds",542,542
"sonic",542,542
"coaster",541,541
"concussion",541,541
"daniels",541,541
"dominate",541,541
"licensing",541,541
"mailing",541,541
"participant",541,541
"shooter",541,541
"swedish",541,541
"thanx",541,541
"beneficial",540,540
"canal",540,540
"ghetto",540,540
"hurdles",540,540
"micro",540,540
"montreal",540,540
"preach",540,540
"braves",539,539
"curtain",539,539
"jaw",539,539
"revival",539,539
"sack",539,539
"schedules",539,539
"shawn",539,539
"anaheim",538,538
"brighter",538,538
"decorations",538,538
"manufacturer",538,538
"quiz",538,538
"supper",538,538
"weights",538,538
"barriers",537,537
"descriptions",537,537
"enforce",537,537
"lafayette",537,537
"maya",537,537
"mccarthy",537,537
"neglect",537,537
"neon",537,537
"refuses",537,537
"sharply",537,537
"sofa",537,537
"sustain",537,537
"tri",537,537
"adapt",536,536
"biology",536,536
"daylight",536,536
"expressing",536,536
"intentionally",536,536
"passport",536,536
"tribal",536,536
"vaccine",536,536
"vendor",536,536
"walnut",536,536
"weeds",536,536
"beware",535,535
"blade",535,535
"chrome",535,535
"cunningham",535,535
"debbie",535,535
"flows",535,535
"generic",535,535
"inclined",535,535
"jumps",535,535
"kris",535,535
"observations",535,535
"propaganda",535,535
"tolerance",535,535
"triumph",535,535
"vacuum",535,535
"announces",534,534
"bipartisan",534,534
"classrooms",534,534
"cord",534,534
"donor",534,534
"endure",534,534
"greene",534,534
"gt",534,534
"happiest",534,534
"intel",534,534
"mounted",534,534
"rex",534,534
"sellers",534,534
"simplicity",534,534
"solving",534,534
"sucker",534,534
"translated",534,534
"turtle",534,534
"urgent",534,534
"bacteria",533,533
"biden",533,533
"characteristics",533,533
"cries",533,533
"cuba",533,533
"hollow",533,533
"shakes",533,533
"songwriter",533,533
"tryin",533,533
"unveiled",533,533
"accusations",532,532
"assembled",532,532
"brazilian",532,532
"broadcasting",532,532
"gee",532,532
"paterno",532,532
"rye",532,532
"thanked",532,532
"committees",531,531
"drained",531,531
"holla",531,531
"hoops",531,531
"intern",531,531
"leslie",531,531
"lick",531,531
"lush",531,531
"med",531,531
"mp",531,531
"professors",531,531
"zones",531,531
"behold",530,530
"capitalism",530,530
"composer",530,530
"condo",530,530
"distraction",530,530
"documented",530,530
"exterior",530,530
"feeds",530,530
"gallons",530,530
"grease",530,530
"historian",530,530
"layered",530,530
"ridiculously",530,530
"ta",530,530
"thorough",530,530
"woody",530,530
"auburn",529,529
"cornerback",529,529
"debris",529,529
"dusty",529,529
"explode",529,529
"formally",529,529
"luis",529,529
"o'clock",529,529
"outrageous",529,529
"pointer",529,529
"prop",529,529
"proudly",529,529
"ruins",529,529
"sights",529,529
"simmons",529,529
"stamping",529,529
"towels",529,529
"comply",528,528
"hooray",528,528
"ll",528,528
"muffin",528,528
"ole",528,528
"scouting",528,528
"su",528,528
"utter",528,528
"arizona's",527,527
"despair",527,527
"egyptian",527,527
"finalists",527,527
"louder",527,527
"smoothly",527,527
"spine",527,527
"staple",527,527
"teresa",527,527
"credited",526,526
"halt",526,526
"patricia",526,526
"portable",526,526
"show's",526,526
"storytelling",526,526
"transplant",526,526
"accents",525,525
"ala",525,525
"archive",525,525
"attractions",525,525
"bachelor",525,525
"behaviour",525,525
"classmates",525,525
"emerson",525,525
"inevitably",525,525
"learns",525,525
"o'fallon",525,525
"phillip",525,525
"shortage",525,525
"skating",525,525
"stretches",525,525
"strive",525,525
"wendy",525,525
"believer",524,524
"charities",524,524
"decorate",524,524
"explosive",524,524
"impose",524,524
"meds",524,524
"paula",524,524
"qaeda",524,524
"rats",524,524
"tearing",524,524
"transactions",524,524
"cos",523,523
"dictionary",523,523
"drafts",523,523
"farming",523,523
"luggage",523,523
"o_o",523,523
"parmesan",523,523
"publications",523,523
"replay",523,523
"sanders",523,523
"vince",523,523
"depot",522,522
"feelin",522,522
"flawed",522,522
"flipped",522,522
"harold",522,522
"hernandez",522,522
"holdings",522,522
"municipalities",522,522
"presidency",522,522
"recycled",522,522
"skipped",522,522
"steadily",522,522
"aa",521,521
"affection",521,521
"burke",521,521
"busted",521,521
"cue",521,521
"ebook",521,521
"enrolled",521,521
"pierre",521,521
"regrets",521,521
"sewer",521,521
"shaker",521,521
"slides",521,521
"sliding",521,521
"subsidies",521,521
"9am",520,520
"blair",520,520
"builds",520,520
"cargo",520,520
"chipotle",520,520
"comfy",520,520
"demonstrations",520,520
"distinctive",520,520
"luncheon",520,520
"mirrors",520,520
"socially",520,520
"tuesdays",520,520
"abbey",519,519
"avi",519,519
"barcelona",519,519
"biological",519,519
"biscuits",519,519
"businessman",519,519
"civilians",519,519
"exceptions",519,519
"gauge",519,519
"nook",519,519
"parole",519,519
"renaissance",519,519
"satan",519,519
"tones",519,519
"debating",518,518
"enters",518,518
"hawaiian",518,518
"laser",518,518
"lent",518,518
"oregonian",518,518
"printer",518,518
"sailing",518,518
"succeeded",518,518
"trevor",518,518
"wander",518,518
"wilderness",518,518
"dangers",517,517
"infinite",517,517
"kenneth",517,517
"leverage",517,517
"mates",517,517
"proverb",517,517
"tore",517,517
"unrelated",517,517
"upgrades",517,517
"area's",516,516
"checkout",516,516
"conversion",516,516
"metaphor",516,516
"readily",516,516
"sterling",516,516
"versatile",516,516
"wellness",516,516
"barrett",515,515
"chased",515,515
"committing",515,515
"conclusions",515,515
"film's",515,515
"mortgages",515,515
"pantry",515,515
"scotch",515,515
"stained",515,515
"stall",515,515
"abby",514,514
"blender",514,514
"dubbed",514,514
"eva",514,514
"goddess",514,514
"julian",514,514
"misconduct",514,514
"newer",514,514
"ontario",514,514
"sleeves",514,514
"anc",513,513
"bedtime",513,513
"bestfriend",513,513
"conducting",513,513
"futures",513,513
"pony",513,513
"promptly",513,513
"refs",513,513
"surreal",513,513
"york's",513,513
"café",512,512
"rescued",512,512
"silicon",512,512
"varsity",512,512
"1d",511,511
"believers",511,511
"catering",511,511
"debts",511,511
"diy",511,511
"governing",511,511
"grader",511,511
"rebels",511,511
"smashed",511,511
"trump",511,511
"walsh",511,511
"who've",511,511
"andrews",510,510
"blossom",510,510
"complexity",510,510
"establishing",510,510
"hillsboro",510,510
"maggie",510,510
"prone",510,510
"pubs",510,510
"raped",510,510
"rec",510,510
"sampling",510,510
"samsung",510,510
"treasures",510,510
